'perfect' gold bar;lingotto d'oro "perfetto".
Maple blackjack(d);Blackjack d'acero(d)
Maple roots;Radici d'acero
Maple longbow (u);Arco lungo in acero (u)
Maple blackjack;Blackjack d'acero
Maple seedling;Piantina di acero
Maple stock;Calcio in acero
Maple shortbow;Arco corto in acero
Maple shortbow (u);Arco corto in acero (u)
Maple shield;Scudo in acero
Maple tree;Albero di acero
Maple seed;Seme d'acero
Maple sapling;Alberello di acero
Marble adventure log;Registro delle avventure in marmo
Maple seedling (w);Piantina di acero (w)
Marble lectern;Leggio in marmo
Marble altar;Altare in marmo
Marble burners;Bruciatori in marmo
Marble amulet;Amuleto di marmo
Marble att. stone;Marmo att. calcolo
Marble cape rack;Portamantelli in marmo
Marble door;Porta in marmo
Marble block;Blocco di marmo
Marble decorative bench;Panca decorativa in marmo
Marble fireplace;Camino in marmo
Marble wall;Parete in marmo
Marigold seed;Seme di calendula
Marble portal nexus;Nesso del portale in marmo
Marble portal;Portale in marmo
Marble trap;Trappola di marmo
Marigolds;Calendule
Marble spiral;Spirale di marmo
Marble wardrobe;Armadio in marmo
Marble staircase;Scala in marmo
Marble magic wardrobe;Armadio magico in marmo
Marrentill;Marrentill
Marrentill seed;Seme di Marrentill
Mark of grace;Segno di grazia
Marlo's crate;La cassa di Marlo
Marionette handle;Manico della marionetta
Marrentill tar;Marrentill catrame
Marr vial;Marr fiala
Mask of balance;Maschera dell'equilibrio
Marinated j' bones;J'bones marinati
Marrentill potion (unf);Pozione Marrentill (unf)
Massive storage unit;Unità di stoccaggio enorme
Mature wmb;Wmb maturo
Mature cider;Sidro maturo
Max cape;Mantello massimo
Mask of ranul;Maschera di ranul
Master farmer;Maestro contadino
Master scroll book;Libro a pergamena principale
Master scroll book (empty);Libro a pergamena principale (vuoto)
Master wand;Bacchetta magica
Max hood;Cappa massima
Meaty easter egg;Uovo di Pasqua carnoso
Maze key;Chiave del labirinto
Medical gown;Camice medico
Medium enriched bone;Osso mediamente arricchito
Meaty chocolate mix;Miscela carnosa di cioccolato
Meat pie;Torta di carne
Medium cog;Ingranaggio medio
Meat pizza;Pizza di carne
Medium fossilised limbs;Arti fossilizzati di media grandezza
Meat tenderiser;Batticarne
Medium fossilised ribs;Costole medie fossilizzate
Medium fossilised skull;Cranio fossile medio
Medium fossilised spine;Dorso medio fossilizzato
Medium ninja bonemeal;Farina di ossa ninja media
Medium head;Testa media
Medium storage unit;Contenitore medio
Medium map;Mappa media
Medium pouch;Marsupio medio
Medium fossilised pelvis;Bacino medio fossile
Medium statues;Statue medie
Menaphite purple kilt;Gonnellino viola menafite
Menaphite purple robe;Veste viola menafita
Meeting notes;Appunti dell'incontro
Memoriam crystal (3);Cristallo memoriale (3)
Menagerie;Serraglio
Memoriam crystal (2);Cristallo memoriale (2)
Memoriam crystal (4);Cristallo memoriale (4)
Medivaemia blossom;Fioritura della Medivaemia
Menaphite purple hat;Cappello viola menafite
Memoriam crystal (1);Cristallo memoriale (1)
Menaphite purple top;Top viola menafite
Menaphite red top;Top rosso menafite
Menaphite thug;Delinquente menafita
Menaphite red robe;Veste rossa menafita
Merfolk trident;Tridente dei tritoni
Message;Messaggio
Mermaid's tear;La lacrima della sirena
Metal bar;Barra di metallo
Menaphite red hat;Cappello rosso menafita
Menaphite red kilt;Kilt rosso menafita
Metal sheet;Lamiera di metallo
Metamorphic dust;Polvere metamorfica
Mid-level plants;Piante di medio livello
Meter;Metro
Metal feather;Piuma di metallo
Metal spade;Vanga in metallo
Midnight;Mezzanotte
Milky mixture;Miscela lattiginosa
Metal key;Chiave in metallo
Miazrqa's pendant;Il ciondolo di Miazrqa
Mimic;Imitare
Mind bomb(2);Bomba mentale(2)
Mime gloves;Guanti da mimo
Mind bomb(1);Bomba mentale(1)
Mind altar teleport;Teletrasporto dell'altare mentale
Minced meat;Carne macinata
Mime mask;Maschera da mimo
Mime boots;Stivali da mimo
Mime legs;Gambe da mimo
Mime top;Parte superiore del mimo
Mind bomb(m1);Bomba mentale (m1)
Mind bomb(m2);Bomba mentale (m2)
Mind rune pack;Pacchetto rune mentali
Mind core;Nucleo mentale
Mind bomb(m3);Bomba mentale (m3)
Mind rune;Runa della mente
Mind bomb(3);Bomba mentale(3)
Mind helmet;Casco mentale
Mind bomb(4);Bomba mentale(4)
Mind bomb(m4);Bomba mentale (m4)
Mining hood;Cappa mineraria
Mining cape(t);Mantello minerario (t)
Minecart ticket;Biglietto per il carrello da miniera
Mind tiara;Tiara della mente
Minecart control scroll;Scorrimento di controllo del carrello da miniera
Mind shield;Scudo mentale
Mining helmet;Casco da miniera
Mining cape;Mantello minerario
Mind talisman;Talismano della mente
Mining gloves;Guanti da miniera
Mining prop;Puntello minerario
Miscellanians;Miscellanesi
Misc. portrait;Varie ritratto
Minor head;Testa minore
Mining tome;Tomo minerario
Mint cake;Torta alla menta
Miscellaneous key;Chiave varia
Mirror;Specchio
Mirror shield;Scudo a specchio
Minnow;Pesciolino
Mith grapple tip;Con punta di presa
Mithril arrow;Freccia di mithril
Mission report;Rapporto di missione
Mithril armour;Armatura di mithril
Mithril arrow(p+);Freccia in mithril(p+)
Mith grapple;Mito rampino
Mithril 2h sword;Spada Mithril 2h
Mithril arrow(p);Freccia in mithril(p)
Mist battlestaff;Bastone da battaglia della nebbia
Mist rune;Runa della nebbia
Mithril axe head;Testa d'ascia in mithril
Mithril bolts (p+);Bulloni in mithril (p+)
Mithril bar;Barra di mithril
Mithril bolts (p++);Bulloni in mithril (p++)
Mithril axe;Ascia di mithril
Mithril bolts;Bulloni di mithril
Mithril bolts (p);Bulloni in mithril (p)
Mithril arrow(p++);Freccia in mithril(p++)
Mithril arrowtips;Punte di freccia in mithril
Mithril battleaxe;Ascia da battaglia in mithril
Mithril chainbody;Corpo in mithril
Mithril crossbow;Balestra in mithril
Mithril bolts (unf);Bulloni in mithril (unf)
Mithril crossbow (u);Balestra in mithril (u)
Mithril dagger(p);Pugnale di mithril(p)
Mithril claws;Artigli di mithril
Mithril dagger;Pugnale di mithril
Mithril dagger(p+);Pugnale di mithril(p+)
Mithril boots;Stivali in mithril
Mithril brutal;Mithril brutale
Mithril dart(p++);Dardo di mithril(p++)
Mithril dart tip;Punta del dardo in mithril
Mithril dragon mask;Maschera del drago di Mithril
Mithril defender;Difensore di Mithril
Mithril dagger(p++);Pugnale di mithril(p++)
Mithril dart;Dardo di mithril
Mithril defender (broken);Difensore Mithril (rotto)
Mithril defender (l);Difensore di Mithril (sx)
Mithril dart(p+);Dardo di mithril(p+)
Mithril dart(p);Dardo di mithril(p)
Mithril gloves;Guanti in mithril
Mithril fire arrow (lit);Freccia di fuoco in mithril (accesa)
Mithril full helm (g);Elmo completo di Mithril (g)
Mithril full helm (t);Elmo completo Mithril (t)
Mithril halberd;Alabarda in mithril
Mithril hasta;Mithril hasta
Mithril full helm;Elmo completo di Mithril
Mithril gold-trimmed set (lg);Set Mithril con finiture dorate (lg)
Mithril gold-trimmed set (sk);Set in mithril con finiture dorate (sk)
Mithril fire arrow;Freccia di fuoco in mithril
Mithril hasta(kp);Mithril hasta(kp)
Mithril kiteshield;Scudo-aquilone in mithril
Mithril javelin(p+);Giavellotto in mithril(p+)
Mithril javelin(p++);Giavellotto in mithril(p++)
Mithril javelin;Giavellotto in mithril
Mithril javelin heads;Teste di giavellotto in mithril
Mithril hasta(p+);Mithril hasta(p+)
Mithril hasta(p);Mithril hasta(p)
Mithril hasta(p++);Mithril hasta(p++)
Mithril javelin(p);Giavellotto in mithril(p)
Mithril mace;Mazza di mithril
Mithril knife(p);Coltello in mithril(p)
Mithril knife(p+);Coltello in mithril(p+)
Mithril knife(p++);Coltello in mithril(p++)
Mithril kiteshield (g);Scudo-aquilone in Mithril (g)
Mithril kiteshield (t);Scudo-aquilone in Mithril (t)
Mithril med helm;Elmo Mithril Med
Mithril limbs;Arti di mithril
Mithril longsword;Spada lunga in mithril
Mithril knife;Coltello in mithril
Mithril pickaxe;Piccone in mithril
Mithril platelegs;Gambe a piastre di mithril
Mithril platebody;Corpo in lamiera di mithril
Mithril nails;Chiodi in mithril
Mithril platebody (g);Corpo in mithril (g)
Mithril ore fragment;Frammento di minerale di mithril
Mithril pick head;Testa di piccone in mithril
Mithril pickaxe (nz);Piccone in mithril (nz)
Mithril ore;Minerale di mithril
Mithril platebody (t);Corpo piastra in mithril (t)
Mithril platelegs (g);Gambe con piastra in mithril (g)
Mithril set (lg);Set Mithril (lungo)
Mithril platelegs (t);Gambe a piastre in mithril (t)
Mithril plateskirt (t);Gonna in mithril (t)
Mithril scimitar;Scimitarra di mithril
Mithril set (sk);Set Mithril (sk)
Mithril seeds;Semi di mithril
Mithril plateskirt;Gonna a piastre in mithril
Mithril plateskirt (g);Gonna in mithril (g)
Mithril spear;Lancia di mithril
Mithril sword;Spada di mithril
Mithril warhammer;Martello da guerra di Mithril
Mithril spear(p);Lancia di mithril(p)
Mithril spear(kp);Lancia di mithril (kp)
Mithril thrownaxe;Ascia da lancio in Mithril
Mithril trimmed set (sk);Set rifinito in mithril (sk)
Mithril sq shield;Scudo quadrato in Mithril
Mithril spear(p+);Lancia di mithril(p+)
Mithril spear(p++);Lancia di mithril(p++)
Mithril trimmed set (lg);Set con finiture in mithril (lg)
Mixed flowers;Fiori misti
Mixed sgg;Misto sgg
Mixed special;Speciale misto
Mixed punch;Pugno misto
Mixed blizzard;Bufera di neve mista
Mixed dragon;Drago misto
Mixed blast;Esplosione mista
Mixed saturday;Sabato misto
Mixture - step 1(1);Miscela - passaggio 1(1)
Mixed chemicals;Prodotti chimici misti
Mixture - step 2(1);Miscela - passaggio 2(1)
Mixture - step 1(2);Miscela - passaggio 1(2)
Model ship;Modello di nave
Mixture - step 1(3);Miscela - passaggio 1(3)
Modern day morytania;Moritania moderna
Mixture - step 1(4);Miscela - passaggio 1(4)
Mixture - step 2(2);Miscela - passaggio 2(2)
Mixture - step 2(4);Miscela - passaggio 2(4)
Mixture - step 2(3);Miscela - passaggio 2(3)
Mogre;Mogre
Molanisk;Molanisk
Monk's robe;Veste da monaco
Molch pearl;Perla di Molch
Molten glass (i);Vetro fuso (i)
Mole claw;Artiglio della talpa
Monk's robe (g);Veste del monaco (g)
Mole skin;Pelle di talpa
Mole slippers;Pantofole talpa
Mogre bone;Osso di Mogre
Molten glass;Vetro fuso
Monk's robe top;Parte superiore della veste del monaco
Monkey;Scimmia
Monk's robe (t);Veste del monaco (t)
Monk's robe top (g);Parte superiore della veste del monaco (g)
Monkey bar;Barra delle scimmie
Monkey bonemeal;Farina di ossa di scimmia
Monkey dentures;Dentiera di scimmia
Monk's robe top (t);Parte superiore della veste del monaco (t)
Monkey bones;Ossa di scimmia
Monkey corpse;Cadavere di scimmia
Monkey magic;Magia delle scimmie
Monkey nuts;Noci di scimmia
Monkey tail;Coda di scimmia
Monkey talisman;Talismano della scimmia
Monkfish;Rana pescatrice
Monkey skull;Teschio di scimmia
Monkey wrench;Chiave inglese
Monkey paw;Zampa di scimmia
Monkey skin;Pelle di scimmia
Monocle;Monocolo
Moonclan manual;Manuale del clan lunare
Moonclan boots;Stivali del Clan della Luna
Moonclan skirt;Gonna del clan lunare
Moonclan teleport;Teletrasporto del clan lunare
Moonclan gloves;Guanti del clan lunare
Moonclan cape;Mantello del Clan della Luna
Moonlight mead;Idromele al chiaro di luna
Moonclan armour;Armatura del Clan della Luna
Moonclan helm;Elmo del Clan della Luna
Moonclan hat;Cappello del Clan della Luna
Moonlight mead(2);Idromele al chiaro di luna(2)
Moonlight mead(3);Idromele al chiaro di luna(3)
Moonlight mead(1);Idromele al chiaro di luna(1)
Moonlight mead(m3);Idromele al chiaro di luna(m3)
Morrigan's coif;La cuffia di Morrigan
Moonlight mead(m1);Idromele al chiaro di luna(m1)
Moonlight mead(m2);Idromele al chiaro di luna(m2)
Moonlight mead(4);Idromele al chiaro di luna(4)
Moonlight mead(m);Idromele al chiaro di luna(m)
Moonlight mead(m4);Idromele al chiaro di luna(m4)
Mort myre pear;Mort myre pera
Morrigan's leather chaps;I gambali in pelle di Morrigan
Mort'ton teleport;Teletrasporto di Morton
Morrigan's javelin;Il giavellotto di Morrigan
Morrigan's throwing axe;L'ascia da lancio di Morrigan
Morytania;Moritania
Morytania legs;Gambe di Morytania
Morrigan's leather body;Il corpo in pelle di Morrigan
Mort myre fungus;Fungo mort myre
Mort myre stem;Gambo di Mort Myre
Mossy key;Chiave muschiosa
Mouldy sawdust;Segatura ammuffita
Morytania legs 2;Gambe di Morytania 2
Morytania legs 4;Gambe di Morytania 4
Morytania painting;Dipinto di Moritania
Moss giant bone;Osso gigante di muschio
Mottled eel;Anguilla screziata
Morytania legs 3;Gambe di Morytania 3
Morytania legs 1;Gambe di Morytania 1
Mos le'harmless teleport;Il teletrasporto più innocuo
Mounted shark;Squalo montato
Mounted xeric's talisman;Talismano di Xeric montato
Mounted harpoonfish;Pesce fiocina montato
Mounted swordfish;Pesce spada montato
Mounted sword;Spada montata
Mounted digsite pendant;Pendente da scavo montato
Mounted emblem;Emblema montato
Mounted coins;Monete montate
Mourner boots;Stivali in lutto
Mounted bass;Bassi montati
Mourner top;Top in lutto
Mourner letter;Lettera in lutto
Mourner gloves;Guanti in lutto
Mourner trousers;Pantaloni in lutto
Mud;Fango
Mouse toy;Giocattolo del topo
Mouth grip;Presa per la bocca
Mourner cloak;Mantello in lutto
Mud battlestaff;Bastone da battaglia di fango
Mud pie;Torta di fango
Mudskipper hide;Pelle di saltafango
Mummy's body;Il corpo della mamma
Muddy key;Chiave fangosa
Mummy's feet;I piedi della mamma
Muddy rock;Roccia fangosa
Mummy's head;La testa della mamma
Mummy's hands;Le mani della mamma
Mudskipper hat;Cappello saltafango
Mud rune;Runa del fango
Mummy's legs;Le gambe della mamma
Mushroom potato;Patate ai funghi
Mushroom spore;Spore di funghi
Mushrooms;Funghi
Mushroom;Fungo
Mushroom pie;Torta ai funghi
Murng bat (5);Pipistrello Murng (5)
Mushroom & onion;Funghi e cipolla
Murky potion;Pozione oscura
Murky water;Acqua torbida
Museum map;Mappa del museo
Mutated zygomite;Zigomite mutato
Musty smelling note;Nota di odore di muffa
Musketeer tabard;Tabardo da moschettiere
Musketeer pants;Pantaloni da moschettiere
Music sheet;Spartito musicale
Music cape;Mantello musicale
Musketeer hat;Cappello da moschettiere
Music hood;Cappa musicale
Music cape(t);Mantello musicale(t)
Music scroll;Scorrimento musicale
Mysterious crushed meat;Carne schiacciata misteriosa
Mycil fish (4);Pesce micile (4)
Mysterious emblem (tier 4);Emblema misterioso (livello 4)
My notes;I miei appunti
Mysterious emblem (tier 2);Emblema misterioso (livello 2)
Mysterious herb;Erba misteriosa
Mysterious emblem (tier 3);Emblema misterioso (livello 3)
Mysterious emblem (tier 5);Emblema misterioso (livello 5)
Myre snelm;Myre Snelm
Mysterious emblem (tier 1);Emblema misterioso (livello 1)
Mystery box;Scatola misteriosa
Mystic boots (dusk);Stivali mistici (tramonto)
Mysterious note;Nota misteriosa
Mystic boots (light);Stivali mistici (leggeri)
Mysterious page;Pagina misteriosa
Mysterious meat;Carne misteriosa
Mystic boots;Stivali mistici
Mysterious orb;Sfera misteriosa
Mystic air staff;Personale aereo mistico
Mystic boots (dark);Stivali mistici (scuri)
Mystic gloves;Guanti mistici
Mystic hat (dark);Cappello mistico (scuro)
Mystic hat (dusk);Cappello mistico (tramonto)
Mystic earth staff;Bastone della terra mistica
Mystic gloves (dusk);Guanti mistici (crepuscolo)
Mystic dust staff;Bastone della polvere mistica
Mystic gloves (dark);Guanti mistici (scuri)
Mystic fire staff;Personale del fuoco mistico
Mystic hat;Cappello mistico
Mystic gloves (light);Guanti mistici (leggeri)
Mystic jewel;Gioiello mistico
Mystic robe top;Parte superiore della vestaglia mistica
Mystic lava staff;Bastone di lava mistico
Mystic hat (light);Cappello mistico (leggero)
Mystic robe bottom (light);Fondo della veste mistica (chiaro)
Mystic robe bottom (dusk);Fondo della veste mistica (crepuscolo)
Mystic mist staff;Bastone della nebbia mistica
Mystic mud staff;Bastone di fango mistico
Mystic robe bottom (dark);Fondo della veste mistica (scuro)
Mystic robe bottom;Fondo della veste mistica
Mystic smoke staff;Personale di fumo mistico
Mystic robe top (dark);Top in veste mistica (scuro)
Mystic set (dusk);Set mistico (crepuscolo)
Mystic robe top (dusk);Top in veste mistica (tramonto)
Mystic set (light);Set mistico (leggero)
Mystic water staff;Bastone dell'acqua mistico
Mystic set (blue);Set mistico (blu)
Mystic set (dark);Set mistico (scuro)
Mystic robe top (light);Top a vestaglia mistica (leggero)
Mystic steam staff;Bastone del vapore mistico
Mythical max cape;Mitico mantello max
Naphtha apple mix;Miscela di mele nafta
Naphtha mix;Miscela di nafta
Mythical cape;Mantello mitico
Nail beast nails;Unghie da bestia
Narnode's orders;Ordini di Narnode
Mythical max hood;Mitica cappa max
Mystical robes;Vesti mistiche
Nardah teleport;Teletrasporto di Nardah
Nasturtium seed;Seme di nasturzio
Nature rune;Runa della natura
Nasturtiums;Nasturzi
Nature house;Casa della natura
Nature tiara;Diadema della natura
Nechryael;Nechryael
Necklace mould;Stampo per collana
Necklace of anguish;Collana di angoscia
Nature impling jar;Vaso per innesto naturale
Nature talisman;Talismano della natura
Navy cavalier;Cavaliere della Marina
Neilan's journal;Il diario di Neilan
Necklace of passage(5);Collana di passaggio(5)
Necklace of anguish (or);Collana dell'angoscia (o)
Needle;Ago
Necklace of passage(2);Collana di passaggio(2)
Necromancy book;Libro Negromanzia
Necklace of passage(1);Collana di passaggio(1)
Necklace of faith;Collana di fede
Necklace of passage(3);Collana di passaggio(3)
Necklace of passage(4);Collana di passaggio(4)
Nettle tea;Tè all'ortica
Nettle-water;Acqua di ortica
Nest box (ring);Nido (anello)
New crystal bow;Nuovo fiocco di cristallo
New crystal bow (i);Nuovo fiocco di cristallo (i)
Nettles;Ortiche
Neitiznot faceguard;Neitiznot protezione facciale
Nest box (seeds);Nido (semi)
Nest box (empty);Cassetta nido (vuota)
Neitiznot shield;Scudo Neitiznot
New key;Nuova chiave
Newspaper;Giornale
New crystal shield;Nuovo scudo di cristallo
Newly made crystal;Cristallo appena realizzato
New crystal halberd full (i);Nuova alabarda di cristallo completa (i)
Nice tree;Bell'albero
New crystal halberd full;Nuova alabarda di cristallo piena
New crystal shield (i);Nuovo scudo di cristallo (i)
Newcomer map;Mappa dei nuovi arrivati
Nice hedge;Bella siepe
Ninja impling jar;Vaso ninja
Niff & harry;Niff e Harry
Nistirio's manifesto;Il manifesto di Nistirio
Nitroglycerin;Nitroglicerina
Noon;Mezzogiorno
Nitrous oxide;Protossido di azoto
Nieve;Nieve
Nightmare staff;Personale da incubo
Ninja monkey greegree;Saluti della scimmia ninja
No eggs;Niente uova
Notes;Note
Nuggets;Pepite
Nulodion's notes;Appunti di Nulodion
Nuff's certificate;Basta con il certificato
Noose wand;Bacchetta cappio
