'perfect' gold bar;'perfecte' goudbaar
Marble portal nexus;Marmeren portaalverbinding
Marble portal;Marmeren portaal
Marble trap;Marmeren val
Marigolds;Goudsbloemen
Marble spiral;Marmeren spiraal
Marble wardrobe;Marmeren kledingkast
Marble staircase;Marmeren trap
Marble magic wardrobe;Marmeren magische kledingkast
Marrentill;Marrentil
Marrentill seed;Marrentil-zaad
Mark of grace;Teken van genade
Marlo's crate;Marlo's krat
Marionette handle;Marionet handvat
Marrentill tar;Marrentil-teer
Marr vial;Marr-flacon
Mask of balance;Masker van evenwicht
Marinated j' bones;Gemarineerde botten
Marrentill potion (unf);Marrentil-drankje (unf)
Massive storage unit;Enorme opslageenheid
Mature wmb;Volwassen wmb
Mature cider;Rijpe cider
Max cape;Maximale kaap
Mask of ranul;Masker van ranul
Master farmer;Meesterboer
Master scroll book;Meesterrolboek
Master scroll book (empty);Hoofdrolboek (leeg)
Master wand;Meester toverstaf
Max hood;Maximale capuchon
Meaty easter egg;Vlezig paasei
Maze key;Doolhof sleutel
Medical gown;Medische jurk
Medium enriched bone;Medium verrijkt bot
Meaty chocolate mix;Vlezige chocolademix
Meat pie;Vleespastei
Medium cog;Middelgroot tandwiel
Meat pizza;Vleespizza
Medium fossilised limbs;Middelgrote gefossiliseerde ledematen
Meat tenderiser;Vleesvermalser
Medium fossilised ribs;Middelgrote gefossiliseerde ribben
Medium fossilised skull;Middelgrote gefossiliseerde schedel
Medium fossilised spine;Middelgrote gefossiliseerde wervelkolom
Medium ninja bonemeal;Medium ninja-beendermeel
Medium head;Middelgrote kop
Medium storage unit;Middelgrote opbergeenheid
Medium map;Middelgrote kaart
Medium pouch;Middelgroot zakje
Medium fossilised pelvis;Middelmatig gefossiliseerd bekken
Medium statues;Middelgrote beelden
Menaphite purple kilt;Menafiet paarse kilt
Menaphite purple robe;Menafiet paarse mantel
Meeting notes;Notulen van de vergadering
Memoriam crystal (3);Memoriamkristal (3)
Menagerie;Menagerie
Memoriam crystal (2);Memoriamkristal (2)
Memoriam crystal (4);Memoriamkristal (4)
Medivaemia blossom;Medivaemia-bloesem
Menaphite purple hat;Menafiet paarse hoed
Memoriam crystal (1);Memoriamkristal (1)
Menaphite purple top;Menafiet paarse top
Menaphite red top;Menafiet rode top
Menaphite thug;Menaphite misdadiger
Menaphite red robe;Menafiet rode mantel
Merfolk trident;Drietand van Merfolk
Message;Bericht
Mermaid's tear;De traan van de zeemeermin
Metal bar;Metalen staaf
Menaphite red hat;Menaphite rode hoed
Menaphite red kilt;Menafiet rode kilt
Metal sheet;Metalen plaat
Metamorphic dust;Metamorf stof
Mid-level plants;Planten op het middenniveau
Meter;Meter
Metal feather;Metalen veer
Metal spade;Metalen schop
Midnight;Middernacht
Milky mixture;Melkachtig mengsel
Metal key;Metalen sleutel
Miazrqa's pendant;Miazrqa's hanger
Mimic;Nabootsen
Mind bomb(2);Geestbom(2)
Mime gloves;Mime-handschoenen
Mind bomb(1);Geestbom(1)
Mind altar teleport;Teleportatie van het geestaltaar
Minced meat;Gehakt
Mime mask;Mime-masker
Mime boots;Mime-laarzen
Mime legs;Boots benen na
Mime top;Mime-top
Mind bomb(m1);Geestbom (m1)
Mind bomb(m2);Geestbom (m2)
Mind rune pack;Mindrune-pakket
Mind core;Geest kern
Mind bomb(m3);Geestbom (m3)
Mind rune;Denk aan rune
Mind bomb(3);Geestbom(3)
Mind helmet;Denk aan helm
Mind bomb(4);Geestbom(4)
Mind bomb(m4);Geestbom (m4)
Mining hood;Mijnbouw kap
Mining cape(t);Mijnbouwkaap(t)
Minecart ticket;Mijnkar-kaartje
Mind tiara;Denk aan tiara
Minecart control scroll;Mijnkar controle scroll
Mind shield;Geest schild
Mining helmet;Mijnbouw helm
Mining cape;Mijnbouw kaap
Mind talisman;Geest talisman
Mining gloves;Mijnhandschoenen
Mining prop;Mijnbouw prop
Miscellanians;Diversen
Misc. portrait;Diversen portret
Minor head;Klein hoofd
Mining tome;Mijnbouw boekdeel
Mint cake;Munt taart
Miscellaneous key;Diverse sleutel
Mirror;Spiegel
Mirror shield;Spiegel schild
Minnow;Voorn
Mith grapple tip;Mith grijpertip
Mithril arrow;Mithril-pijl
Mission report;Missierapport
Mithril armour;Mithril-pantser
Mithril arrow(p+);Mithril-pijl(p+)
Mith grapple;Mith-grijper
Mithril 2h sword;Mithril 2h-zwaard
Mithril arrow(p);Mithril-pijl (p)
Mist battlestaff;Mist strijdstaf
Mist rune;Mist rune
Mithril axe head;Mithril bijlkop
Mithril bolts (p+);Mithril bouten (p+)
Mithril bar;Mithril-bar
Mithril bolts (p++);Mithril-bouten (p++)
Mithril axe;Mithril bijl
Mithril bolts;Mithril-bouten
Mithril bolts (p);Mithril bouten (p)
Mithril arrow(p++);Mithril-pijl(p++)
Mithril arrowtips;Mithril pijlpunten
Mithril battleaxe;Mithril strijdbijl
Mithril chainbody;Mithril kettinglichaam
Mithril crossbow;Mithril-kruisboog
Mithril bolts (unf);Mithril-bouten (unf)
Mithril crossbow (u);Mithril kruisboog (u)
Mithril dagger(p);Mithril-dolk(p)
Mithril claws;Mithril-klauwen
Mithril dagger;Mithril-dolk
Mithril dagger(p+);Mithril-dolk(p+)
Mithril boots;Mithril-laarzen
Mithril brutal;Mitril brutaal
Mithril dart(p++);Mithril-pijltje(p++)
Mithril dart tip;Mithril darttip
Mithril dragon mask;Mithril drakenmasker
Mithril defender;Mithril-verdediger
Mithril dagger(p++);Mithril-dolk(p++)
Mithril dart;Mithril-pijltje
Mithril defender (broken);Mithril-verdediger (gebroken)
Mithril defender (l);Mithril-verdediger (l)
Mithril dart(p+);Mithril-pijltje(p+)
Mithril dart(p);Mithril-pijltje (p)
Mithril gloves;Mithril-handschoenen
Mithril fire arrow (lit);Mithril vuurpijl (verlicht)
Mithril full helm (g);Mithril vol roer (g)
Mithril full helm (t);Mithril vol roer (t)
Mithril halberd;Mithril hellebaard
Mithril hasta;Mithril heeft
Mithril full helm;Mithril vol roer
Mithril gold-trimmed set (lg);Mithril set met gouden rand (lg)
Mithril gold-trimmed set (sk);Mithril set met gouden rand (sk)
Mithril fire arrow;Mithril vuurpijl
Mithril hasta(kp);Mithril hasta (kp)
Mithril kiteshield;Mithril vliegerschild
Mithril javelin(p+);Mithril speer(p+)
Mithril javelin(p++);Mithril speer(p++)
Mithril javelin;Mithril speer
Mithril javelin heads;Mithril speerkoppen
Mithril hasta(p+);Mithril hasta(p+)
Mithril hasta(p);Mithril hasta(p)
Mithril hasta(p++);Mithril hasta(p++)
Mithril javelin(p);Mithril speer(p)
Mithril mace;Mithril foelie
Mithril knife(p);Mithril-mes(p)
Mithril knife(p+);Mithril-mes(p+)
Mithril knife(p++);Mithril-mes(p++)
Mithril kiteshield (g);Mithril vliegerschild (g)
Mithril kiteshield (t);Mithril vliegerschild (t)
Mithril med helm;Mithril met roer
Mithril limbs;Mithril-ledematen
Mithril longsword;Mithril langzwaard
Mithril knife;Mithril-mes
Mithril pickaxe;Mithril houweel
Mithril platelegs;Mithril-plaatpoten
Mithril platebody;Mithril plaatlichaam
Mithril nails;Mithril-spijkers
Mithril platebody (g);Mithril plaatlichaam (g)
Mithril ore fragment;Mithril-ertsfragment
Mithril pick head;Mithril pick-head
Mithril pickaxe (nz);Mithril houweel (nz)
Mithril ore;Mithril-erts
Mithril platebody (t);Mithril plaatlichaam (t)
Mithril platelegs (g);Mithril plaatpoten (g)
Mithril set (lg);Mithril-set (lg)
Mithril platelegs (t);Mithril plaatpoten (t)
Mithril plateskirt (t);Mithril plateskirt (t)
Mithril scimitar;Mithril kromzwaard
Mithril set (sk);Mithril-set (sk)
Mithril seeds;Mithril-zaden
Mithril plateskirt;Mithril plaatrok
Mithril plateskirt (g);Mithril plaatrok (g)
Mithril spear;Mithril speer
Mithril sword;Mithril-zwaard
Mithril warhammer;Mithril oorlogshamer
Mithril spear(p);Mithril-speer (p)
Mithril spear(kp);Mithril-speer (kp)
Mithril thrownaxe;Mithril werpbijl
Mithril trimmed set (sk);Mithril getrimde set (sk)
Mithril sq shield;Mithril vierkant schild
Mithril spear(p+);Mithril-speer(p+)
Mithril spear(p++);Mithril-speer(p++)
Mithril trimmed set (lg);Mithril getrimde set (lg)
Mixed flowers;Gemengde bloemen
Mixed sgg;Gemengde sgg
Mixed special;Gemengd speciaal
Mixed punch;Gemengde punch
Mixed blizzard;Gemengde sneeuwstorm
Mixed dragon;Gemengde draak
Mixed blast;Gemengde explosie
Mixed saturday;Gemengde zaterdag
Mixture - step 1(1);Mengsel - stap 1(1)
Mixed chemicals;Gemengde chemicaliën
Mixture - step 2(1);Mengsel - stap 2(1)
Mixture - step 1(2);Mengsel - stap 1(2)
Model ship;Modelschip
Mixture - step 1(3);Mengsel - stap 1(3)
Modern day morytania;Moderne morytania
Mixture - step 1(4);Mengsel - stap 1(4)
Mixture - step 2(2);Mengsel - stap 2(2)
Mixture - step 2(4);Mengsel - stap 2(4)
Mixture - step 2(3);Mengsel - stap 2(3)
Mogre;Mogre
Molanisk;Molanisk
Monk's robe;Monniks gewaad
Molch pearl;Molch parel
Molten glass (i);Gesmolten glas (i)
Mole claw;Mol klauw
Monk's robe (g);Monniksgewaad (g)
Mole skin;Mol huid
Mole slippers;Mol-pantoffels
Mogre bone;Mogre-bot
Molten glass;Gesmolten glas
Monk's robe top;Monniks gewaad bovenaan
Monkey;Aap
Monk's robe (t);Monniksgewaad (t)
Monk's robe top (g);Monniksgewaad top (g)
Monkey bar;Apenbar
Monkey bonemeal;Apenbeendermeel
Monkey dentures;Apen kunstgebit
Monk's robe top (t);Monniksgewaad top (t)
Monkey bones;Apen botten
Monkey corpse;Aap lijk
Monkey magic;Aap magie
Monkey nuts;Aap noten
Monkey tail;Aap staart
Monkey talisman;Aap talisman
Monkfish;Zeeduivel
Monkey skull;Aap schedel
Monkey wrench;Aap sleutel
Monkey paw;Aap poot
Monkey skin;Apenhuid
Monocle;Monocle
Moonclan manual;Maanclan handleiding
Moonclan boots;Maanclan-laarzen
Moonclan skirt;Maanclan rok
Moonclan teleport;Teleporteren van de Maanclan
Moonclan gloves;Maanclan handschoenen
Moonclan cape;Kaap van de Maanclan
Moonlight mead;Maanlicht mede
Moonclan armour;Het pantser van de Maanclan
Moonclan helm;Het roer van de Maanclan
Moonclan hat;Maanclan hoed
Moonlight mead(2);Maanlicht mede(2)
Moonlight mead(3);Maanlicht mede(3)
Moonlight mead(1);Maanlicht mede(1)
Moonlight mead(m3);Maanlichtweide (m3)
Morrigan's coif;Morrigans kapsel
Moonlight mead(m1);Maanlicht mede (m1)
Moonlight mead(m2);Maanlichtweide (m2)
Moonlight mead(4);Maanlicht mede(4)
Moonlight mead(m);Maanlicht mede(m)
Moonlight mead(m4);Maanlichtweide (m4)
Mort myre pear;Mort Myre-peer
Morrigan's leather chaps;Morrigans leren chaps
Mort'ton teleport;Mort'ton teleporteert
Morrigan's javelin;Morrigans speer
Morrigan's throwing axe;Morrigans werpbijl
Morytania;Morytanië
Morytania legs;Morytania-poten
Morrigan's leather body;Morrigans leren lichaam
Mort myre fungus;Mort myre-schimmel
Mort myre stem;Mort myre-stam
Mossy key;Bemoste sleutel
Mouldy sawdust;Beschimmeld zaagsel
Morytania legs 2;Morytania-poten 2
Morytania legs 4;Morytania-poten 4
Morytania painting;Morytania schilderij
Moss giant bone;Mos gigantisch bot
Mottled eel;Gevlekte paling
Morytania legs 3;Morytania-poten 3
Morytania legs 1;Morytania-poten 1
Mos le'harmless teleport;Mos le'onschadelijk teleporteren
Mounted shark;Opgezette haai
Mounted xeric's talisman;Xeric's talisman gemonteerd
Mounted harpoonfish;Opgezette harpoenvis
Mounted swordfish;Opgezette zwaardvis
Mounted sword;Gemonteerd zwaard
Mounted digsite pendant;Gemonteerde digsite-hanger
Mounted emblem;Gemonteerd embleem
Mounted coins;Opgezette munten
Mourner boots;Rouwlaarzen
Mounted bass;Gemonteerde bas
Mourner top;Rouwende bovenkant
Mourner letter;Rouwende brief
Mourner gloves;Rouw handschoenen
Mourner trousers;Rouwbroek
Mud;Modder
Mouse toy;Muis speelgoed
Mouth grip;Mondgreep
Mourner cloak;Rouwende mantel
Mud battlestaff;Modder strijdstaf
Mud pie;Modder taart
Mudskipper hide;Mudskipper-huid
Mummy's body;Mama's lichaam
Muddy key;Modderige sleutel
Mummy's feet;Mama's voeten
Muddy rock;Modderige rots
Mummy's head;Mama's hoofd
Mummy's hands;Mama's handen
Mudskipper hat;Modderkapper hoed
Mud rune;Modder rune
Mummy's legs;Mama's benen
Mushroom potato;Champignon aardappel
Mushroom spore;Paddestoel sporen
Mushrooms;Paddestoelen
Mushroom;Paddestoel
Mushroom pie;Champignontaart
Murng bat (5);Murng-vleermuis (5)
Mushroom & onion;Champignon & ui
Murky potion;Duister drankje
Murky water;Troebel water
Museum map;Museumkaart
Mutated zygomite;Gemuteerde zygomiet
Musty smelling note;Muf ruikende toon
Musketeer tabard;Musketier tabberd
Musketeer pants;Musketier broek
Music sheet;Muziek blad
Music cape;Muziek cape
Musketeer hat;Musketier hoed
Music hood;Muziek kap
Music cape(t);Muziek cape(t)
Music scroll;Muziek scrollen
Mysterious crushed meat;Mysterieus gemalen vlees
Mycil fish (4);Mycilvis (4)
Mysterious emblem (tier 4);Mysterieus embleem (niveau 4)
My notes;Mijn aantekeningen
Mysterious emblem (tier 2);Mysterieus embleem (niveau 2)
Mysterious herb;Mysterieus kruid
Mysterious emblem (tier 3);Mysterieus embleem (niveau 3)
Mysterious emblem (tier 5);Mysterieus embleem (niveau 5)
Myre snelm;Myre Snelm
Mysterious emblem (tier 1);Mysterieus embleem (niveau 1)
Mystery box;Mysterie doos
Mystic boots (dusk);Mystieke laarzen (schemering)
Mysterious note;Mysterieuze opmerking
Mystic boots (light);Mystieke laarzen (licht)
Mysterious page;Mysterieuze pagina
Mysterious meat;Mysterieus vlees
Mystic boots;Mystieke laarzen
Mysterious orb;Mysterieuze bol
Mystic air staff;Mystieke luchtstaf
Mystic boots (dark);Mystic laarzen (donker)
Mystic gloves;Mystieke handschoenen
Mystic hat (dark);Mystieke hoed (donker)
Mystic hat (dusk);Mystieke hoed (schemering)
Mystic earth staff;Mystieke aardestaf
Mystic gloves (dusk);Mystic handschoenen (schemering)
Mystic dust staff;Mystieke stofstaf
Mystic gloves (dark);Mystic handschoenen (donker)
Mystic fire staff;Mystiek brandweerpersoneel
Mystic hat;Mystieke hoed
Mystic gloves (light);Mystieke handschoenen (licht)
Mystic jewel;Mystiek juweel
Mystic robe top;Mystieke gewaadtop
Mystic lava staff;Mystieke lavastaf
Mystic hat (light);Mystieke hoed (licht)
Mystic robe bottom (light);Mystic gewaad onderkant (licht)
Mystic robe bottom (dusk);Mystic gewaad onderkant (schemering)
Mystic mist staff;Mystieke miststaf
Mystic mud staff;Mystieke modderstaf
Mystic robe bottom (dark);Mystic gewaadonderkant (donker)
Mystic robe bottom;Mystiek gewaad onderaan
Mystic smoke staff;Mystieke rookstaf
Mystic robe top (dark);Mystic gewaadtop (donker)
Mystic set (dusk);Mystieke set (schemering)
Mystic robe top (dusk);Mystic gewaadtop (schemering)
Mystic set (light);Mystieke set (licht)
Mystic water staff;Mystieke waterstaf
Mystic set (blue);Mystieke set (blauw)
Mystic set (dark);Mystieke set (donker)
Mystic robe top (light);Mystic gewaadtop (licht)
Mystic steam staff;Mystieke stoomstaf
Mythical max cape;Mythische maximale cape
Naphtha apple mix;Nafta appelmix
Naphtha mix;Nafta mengsel
Mythical cape;Mythische cape
Nail beast nails;Nagel beest nagels
Narnode's orders;Narnode's orders
Mythical max hood;Mythische maximale capuchon
Mystical robes;Mystieke gewaden
Nardah teleport;Nardah teleporteert
Nasturtium seed;Oost-Indische kers zaad
Nature rune;Natuur rune
Nasturtiums;Oost-Indische kers
Nature house;Natuur huis
Nature tiara;Natuur tiara
Nechryael;Nechryaël
Necklace mould;Ketting mal
Necklace of anguish;Ketting van angst
Nature impling jar;Natuur impling pot
Nature talisman;Natuur talisman
Navy cavalier;Marine cavalier
Neilan's journal;Neilans dagboek
Necklace of passage(5);Halsketting van doorgang(5)
Necklace of anguish (or);Ketting van angst (of)
Needle;Naald
Necklace of passage(2);Halsketting van doorgang(2)
Necromancy book;Necromantie boek
Necklace of passage(1);Halsketting van doorgang(1)
Necklace of faith;Ketting van geloof
Necklace of passage(3);Halsketting van doorgang(3)
Necklace of passage(4);Halsketting van doorgang(4)
Nettle tea;Brandnetel thee
Nettle-water;Brandnetel-water
Nest box (ring);Nestkast (ring)
New crystal bow;Nieuwe kristallen strik
New crystal bow (i);Nieuwe kristallen strik (i)
Nettles;Brandnetels
Neitiznot faceguard;Neitiznot gezichtsbeschermer
Nest box (seeds);Nestkast (zaden)
Nest box (empty);Nestkast (leeg)
Neitiznot shield;Neitiznot-schild
New key;Nieuwe sleutel
Newspaper;Krant
New crystal shield;Nieuw kristallen schild
Newly made crystal;Nieuw gemaakt kristal
New crystal halberd full (i);Nieuwe kristallen hellebaard vol (i)
Nice tree;Mooie boom
New crystal halberd full;Nieuwe kristallen hellebaard vol
New crystal shield (i);Nieuw kristallen schild (i)
Newcomer map;Nieuwkomer kaart
Nice hedge;Mooie haag
Ninja impling jar;Ninja impling-pot
Niff & harry;Niff & harry
Nistirio's manifesto;Het manifest van Nistirio
Nitroglycerin;Nitroglycerine
Noon;Middag
Nitrous oxide;Lachgas
Nieve;Nieve
Nightmare staff;Nachtmerrie personeel
Ninja monkey greegree;Ninja-aap, akkoord
No eggs;Geen eieren
Notes;Opmerkingen
Nuggets;Goudklompjes
Nulodion's notes;Nulodion's aantekeningen
Nuff's certificate;Nuff's certificaat
Noose wand;Strop toverstaf
Noxifer;Noxifer
Nose peg;Neus pin
Note;Opmerking
Noxifer seed;Noxifer-zaad
Normal tax bag;Normale belastingzak
Nunchaku;Nunchaku
Oak bed;Eiken bed
Oak and steel cage;Eiken en stalen kooi
Oak armour case;Eiken pantserkast
Oak bird house;Eiken vogelhuisje
Nurse hat;Verpleegster hoed
Oak bench;Eiken bank
Oak altar;Eiken altaar
Oak armchair;Eiken fauteuil
Numulite;Numuliet
Oak cabinet;Eiken kast
Oak clock;Eiken klok
Oak chair;Eiken stoel
Oak chest;Eiken kist
Oak bookcase;Eiken boekenkast
Oak cape rack;Eiken kaprek
Oak blackjack(o);Eiken blackjack(o)
Oak cage;Eiken kooi
Oak blackjack;Eiken blackjack
Oak blackjack(d);Eiken blackjack(d)
Oak costume box;Eiken kostuumdoos
Oak decoration;Eiken decoratie
Oak door;Eiken deur
Oak dresser;Eiken dressoir
Oak feeder;Eiken voederbak
Oak cupboard;Eiken kast
Oak dining table;Eiken eettafel
Oak drawers;Eiken laden
Oak fancy dress box;Eiken verkleedkistje
Oak drawer;Eiken lade
Oak lectern;Eiken lessenaar
Oak longbow;Eiken handboog
Oak larder;Eiken voorraadkast
Oak longbow (u);Eiken handboog (u)
Oak lever;Eiken hendel
Oak magic wardrobe;Eiken magische kledingkast
Oak ladder;Eiken ladder
Oak logs;Eikenhout
Oak house;Eiken huis
Oak kitchen table;Eiken keukentafel
Oak plank;Eiken plank
Oak shaving stand;Eiken scheerstandaard
Oak pyre logs;Eiken brandstapelblokken
Oak outfit stand;Eiken outfitstandaard
Oak seedling (w);Eikenzaailing (w)
Oak scratching post;Eiken krabpaal
Oak prize chest;Eiken prijzenkist
Oak sapling;Eiken jong boompje
Oak roots;Eiken wortels
Oak seedling;Eiken zaailing
Oak shelves 1;Eiken planken 1
Oak telescope;Eiken telescoop
Oak shortbow (u);Eiken korteboog (u)
Oak staircase;Eiken trap
Oak stock;Eiken voorraad
Oak shield;Eiken schild
Oak shortbow;Eiken korteboog
Oak shelves;Eiken planken
Oak shelves 2;Eiken planken 2
Oak table;Eiken tafel
Oak toy box;Eiken speelgoedkist
Oak throne;Eiken troon
Oak wardrobe;Eiken kledingkast
Oak treasure chest;Eiken schatkist
Oak tree;Eiken boom
Oak workbench;Eiken werkbank
Obsidian amulet;Obsidiaan amulet
Oak trophy case;Eiken trofeekast
Obelisk;Obelisk
Observatory lens;Observatie lens
Obsidian cape (r);Obsidiaan cape (r)
Obsidian decorative bench;Obsidiaan decoratieve bank
Obsidian platelegs;Obsidiaan plaatjespoten
Obsidian fence;Obsidiaan hek
Obsidian platebody;Obsidiaan plaatlichaam
Occult necklace;Occulte ketting
Obsidian cape;Obsidiaan cape
Obsidian armour set;Obsidiaan pantserset
Obsidian helmet;Obsidiaan helm
Occult altar;Occult altaar
Occult ornament kit;Occulte ornamentkit
Odd gnomebowl;Vreemde kabouterkom
Occult necklace (or);Occulte ketting (of)
Odd batta;Vreemde batta
Odd bird seed;Vreemd vogelzaad
Ochre snelm;Oker snelm
Odd cocktail;Vreemde cocktail
Odd crunchies;Vreemde crunchies
Oculus orb;Oculus bol
Odd stuffed snake;Vreemde opgezette slang
Ode to eternity;Ode aan de eeuwigheid
Oddskull;Vreemde schedel
Odium shard 1;Odiumscherf 1
Ogre arrow shaft;Ogre pijlschacht
Ogre bellows;Oger brult
Ogre arrow;Oger pijl
Odium shard 2;Odiumscherf 2
Ogre artefact;Ogre-artefact
Odium shard 3;Odiumscherf 3
Odium ward;Odia afdeling
Ogre bellows (3);Ogre-balg (3)
Ogre bellows (1);Ogre balg (1)
Ohn's diary;Ohns dagboek
Ogre bellows (2);Ogre balg (2)
Ogre relic;Oger-relikwie
Ogre gate key;Ogre-poortsleutel
Ogre tooth;Boeman tand
Ogre bow;Boeman boog
Ogre coffin key;Ogre-kistsleutel
Ogre ribs;Ogre-ribben
Oily pearl fishing rod;Vishengel met olieachtige parel
Oil lantern frame;Frame van een olielantaarn
Oil can;Olie kan
Oily cloth;Vette doek
Oil lamp;Olie lamp
Old boot;Oude laars
Oily fishing rod;Vette hengel
Old chipped vase;Oude afgebroken vaas
Old coin;Oude munt
Oil lantern;Olie lantaarn
Old demon mask;Oud demonenmasker
